Risultati istanze con algoritmo CVC modificato da euristica: 20%  k=4 connesso con i 5 vicini di grado
  : |     NOME ISTANZA                        |  |TEMPO       | |VALORE SOLUZIONE| |BEST BOUND  | |STATO       | |NUMERO NODI | |NUMERO ARCHI| |IS VERTEX COVER| |IS CONNECTED VERTEX COVER     |
1 CVC: |bcspwr06.mtx                         | |300,234     | |806,000000      | |787,008943  | |Feasible    | |1454        | |1923        | |true           | |true        |

2 CVC: |bcspwr09.mtx                         | |300,273     | |914,000000      | |897,850312  | |Feasible    | |1723        | |2394        | |true           | |true        |

3 CVC: |bibd_11_5.mtx                        | |1,215       | |55,000000       | |55,000000   | |Optimal     | |462         | |4560        | |true           | |true        |

4 CVC: |celegans_connectome_multiplex.edges  | |0,148       | |27,000000       | |27,000000   | |Optimal     | |279         | |783         | |true           | |true        |

5 CVC: |ch7-6-b1.mtx                         | |2,319       | |59,000000       | |59,000000   | |Optimal     | |630         | |1243        | |true           | |true        |

6 CVC: |dwa512.mtx                           | |300,149     | |505,000000      | |258,000000  | |Feasible    | |512         | |1004        | |true           | |true        |

7 CVC: |email-enron-only.mtx                 | |0,298       | |87,000000       | |87,000000   | |Optimal     | |143         | |623         | |true           | |true        |

8 CVC: |email-univ.edges                     | |15,730      | |599,000000      | |599,000000  | |Optimal     | |1133        | |5451        | |true           | |true        |

9 CVC: |GD96_a.mtx                           | |300,519     | |757,000000      | |742,721941  | |Feasible    | |1096        | |1677        | |true           | |true        |

10 CVC: |ia-email-univ.mtx                   | |14,809      | |599,000000      | |599,000000  | |Optimal     | |1133        | |5451        | |true           | |true        |

11 CVC: |inf-USAir97.mtx                     | |0,601       | |149,000000      | |149,000000  | |Optimal     | |332         | |2126        | |true           | |true        |

12 CVC: |Kapferer-Tailor-Shop_multiplex.edges| |0,032       | |4,000000        | |4,000000    | |Optimal     | |39          | |137         | |true           | |true        |

13 CVC: |lp_agg.mtx                          | |13,216      | |128,000000      | |128,000000  | |Optimal     | |615         | |2407        | |true           | |true        |

14 CVC: |lp_etamacro.mtx                     | |5,263       | |368,000000      | |368,000000  | |Optimal     | |816         | |2489        | |true           | |true        |

15 CVC: |lp_scfxm1.mtx                       | |6,708       | |239,000000      | |239,000000  | |Optimal     | |600         | |2729        | |true           | |true        |

16 CVC: |lp_standgub.mtx                     | |131,730     | |288,000000      | |288,000000  | |Optimal     | |1383        | |3339        | |true           | |true        |

17 CVC: |n4c6-b15.mtx                        | |2,898       | |64,000000       | |64,000000   | |Optimal     | |920         | |959         | |true           | |true        |

18 CVC: |nemsafm.mtx                         | |23,890      | |236,000000      | |236,000000  | |Optimal     | |2348        | |2725        | |true           | |true        |

19 CVC: |out.brunson_revolution_revolution   | |0,039       | |11,000000       | |11,000000   | |Optimal     | |136         | |157         | |true           | |true        |

20 CVC: |out.dolphins                        | |0,150       | |36,000000       | |36,000000   | |Optimal     | |62          | |159         | |true           | |true        |

21 CVC: |out.edit-astwikibooks               | |1,585       | |82,000000       | |82,000000   | |Optimal     | |276         | |307         | |true           | |true        |

22 CVC: |out.edit-chwiktionary               | |0,093       | |31,000000       | |31,000000   | |Optimal     | |67          | |82          | |true           | |true        |

23 CVC: |out.edit-cowikibooks                | |0,332       | |63,000000       | |63,000000   | |Optimal     | |256         | |323         | |true           | |true        |

24 CVC: |out.edit-nawikibooks                | |0,152       | |49,000000       | |49,000000   | |Optimal     | |250         | |277         | |true           | |true        |

25 CVC: |out.edit-vowikibooks                | |1,738       | |79,000000       | |79,000000   | |Optimal     | |305         | |345         | |true           | |true        |

26 CVC: |out.hiv                             | |0,020       | |18,000000       | |18,000000   | |Optimal     | |40          | |41          | |true           | |true        |

27 CVC: |out.iceland                         | |0,037       | |19,000000       | |19,000000   | |Optimal     | |75          | |114         | |true           | |true        |

28 CVC: |out.maayan-faa                      | |23,524      | |632,000000      | |632,000000  | |Optimal     | |1226        | |2408        | |true           | |true        |

29 CVC: |out.moreno_crime_crime              | |4,811       | |353,000000      | |353,000000  | |Optimal     | |829         | |1473        | |true           | |true        |

30 CVC: |prisoninter_st.txt                  | |0,072       | |42,000000       | |42,000000   | |Optimal     | |67          | |142         | |true           | |true        |

31 CVC: |s208_st.txt                         | |0,474       | |69,000000       | |69,000000   | |Optimal     | |122         | |189         | |true           | |true        |

32 CVC: |s838_st.txt                         | |275,473     | |288,000000      | |288,000000  | |Optimal     | |512         | |819         | |true           | |true        |

33 CVC: |USairport500.txt                    | |0,872       | |202,000000      | |202,000000  | |Optimal     | |500         | |2980        | |true           | |true        |

